Sl No,R2_score,RMSE,Models,Type,R2_score,RMSE,Models,Type,R2_score,RMSE,Models,Type,R2_score,RMSE,Models,Type
1,0.972244439,0.179747489,LgB,Training,0.922355524,0.260210507,LgB,Training,0.995700153,0.131772771,LgB,Training,0.998997322,0.014433864,LgB,Training
2,0.968794402,0.193582083,LgB,Training,0.937418133,0.232179533,LgB,Training,0.994858522,0.143237212,LgB,Training,0.998955874,0.014540765,LgB,Training
3,0.975771492,0.171661312,LgB,Training,0.93715643,0.249250983,LgB,Training,0.995686629,0.131568862,LgB,Training,0.999061547,0.014262493,LgB,Training
4,0.969440823,0.186001043,LgB,Training,0.921588991,0.270316757,LgB,Training,0.995375366,0.13606369,LgB,Training,0.999167328,0.0131502,LgB,Training
5,0.974583296,0.169940855,LgB,Training,0.928829816,0.258234172,LgB,Training,0.995424396,0.135028831,LgB,Training,0.999029372,0.014173889,LgB,Training
6,0.97212232,0.176015496,LgB,Training,0.943234651,0.225886615,LgB,Training,0.995162043,0.139505788,LgB,Training,0.999242675,0.012474194,LgB,Training
7,0.970592519,0.174631532,LgB,Training,0.937905585,0.232135653,LgB,Training,0.995723004,0.131251628,LgB,Training,0.998975592,0.014751119,LgB,Training
8,0.970007711,0.183661558,LgB,Training,0.929358038,0.263006203,LgB,Training,0.995728868,0.130801739,LgB,Training,0.999244119,0.012612862,LgB,Training
9,0.972180791,0.17940976,LgB,Training,0.932595494,0.258918266,LgB,Training,0.995010023,0.141753912,LgB,Training,0.999217238,0.012933994,LgB,Training
10,0.97148343,0.176638494,LgB,Training,0.923232693,0.268800091,LgB,Training,0.995185179,0.139704786,LgB,Training,0.999063324,0.014079461,LgB,Training
11,0.971735327,0.17423567,LgB,Training,0.920673299,0.272660095,LgB,Training,0.995297659,0.137488917,LgB,Training,0.999317226,0.01202184,LgB,Training
12,0.968771265,0.188878544,LgB,Training,0.919157892,0.282853929,LgB,Training,0.995446181,0.135027944,LgB,Training,0.999424282,0.011048883,LgB,Training
13,0.968183059,0.187383293,LgB,Training,0.931874458,0.259352381,LgB,Training,0.995419974,0.137240654,LgB,Training,0.999130884,0.01373285,LgB,Training
14,0.971403055,0.172540189,LgB,Training,0.922910053,0.258456162,LgB,Training,0.99568557,0.131241727,LgB,Training,0.999169662,0.013195023,LgB,Training
15,0.972671711,0.1792298,LgB,Training,0.92608766,0.252696525,LgB,Training,0.995851724,0.128162751,LgB,Training,0.99930197,0.012111601,LgB,Training
16,0.967616,0.179824093,LgB,Training,0.929335156,0.264484303,LgB,Training,0.995293766,0.137141073,LgB,Training,0.999046812,0.014263623,LgB,Training
17,0.974840532,0.158929624,LgB,Training,0.936171695,0.252140547,LgB,Training,0.995550718,0.134272199,LgB,Training,0.999048028,0.014115006,LgB,Training
18,0.973052321,0.169257813,LgB,Training,0.935702457,0.244804224,LgB,Training,0.995686927,0.132039044,LgB,Training,0.999120879,0.01370095,LgB,Training
19,0.976399439,0.16119538,LgB,Training,0.925010046,0.267844878,LgB,Training,0.995340076,0.13661961,LgB,Training,0.999240986,0.012755894,LgB,Training
20,0.970037384,0.180049556,LgB,Training,0.935710897,0.237153409,LgB,Training,0.994999444,0.140384522,LgB,Training,0.999045227,0.013964735,LgB,Training
21,0.971083109,0.183743632,LgB,Training,0.924164069,0.275243059,LgB,Training,0.995494441,0.132926834,LgB,Training,0.999163478,0.013471605,LgB,Training
22,0.973519678,0.166207579,LgB,Training,0.927901317,0.262121127,LgB,Training,0.9951714,0.138798402,LgB,Training,0.99928574,0.012339589,LgB,Training
23,0.974165242,0.16658662,LgB,Training,0.922609354,0.268939846,LgB,Training,0.995054271,0.141357572,LgB,Training,0.999116464,0.013815567,LgB,Training
24,0.972835978,0.175642497,LgB,Training,0.916329155,0.28402365,LgB,Training,0.995863666,0.129360579,LgB,Training,0.999068274,0.01383106,LgB,Training
25,0.973174612,0.175595341,LgB,Training,0.928230296,0.261754382,LgB,Training,0.995201418,0.13821823,LgB,Training,0.999150147,0.013396898,LgB,Training
26,0.971908774,0.168723644,LgB,Training,0.931670427,0.257370367,LgB,Training,0.995244248,0.138200312,LgB,Training,0.999022258,0.014277516,LgB,Training
27,0.968791127,0.182320375,LgB,Training,0.931602054,0.25508297,LgB,Training,0.995658767,0.131144854,LgB,Training,0.99903564,0.014061235,LgB,Training
28,0.974055838,0.173650292,LgB,Training,0.930652652,0.251763388,LgB,Training,0.995175508,0.138184894,LgB,Training,0.99919465,0.012954784,LgB,Training
29,0.972553901,0.181652035,LgB,Training,0.939263444,0.224605085,LgB,Training,0.995309845,0.138419148,LgB,Training,0.998799329,0.015782329,LgB,Training
30,0.974979822,0.169960536,LgB,Training,0.932734828,0.256429966,LgB,Training,0.995411928,0.134990039,LgB,Training,0.999014031,0.014362956,LgB,Training
31,0.734588286,0.478323387,LgB,Testing,0.70948459,0.571543335,LgB,Testing,0.98124752,0.270141246,LgB,Testing,0.998091253,0.020429285,LgB,Testing
32,0.820724507,0.368242733,LgB,Testing,0.665056486,0.622360168,LgB,Testing,0.986760643,0.231016078,LgB,Testing,0.997188185,0.025573712,LgB,Testing
33,0.810826956,0.363477599,LgB,Testing,0.680172713,0.499619596,LgB,Testing,0.983102309,0.258618499,LgB,Testing,0.998161911,0.018766154,LgB,Testing
34,0.836847657,0.396329763,LgB,Testing,0.723639,0.512491097,LgB,Testing,0.984043293,0.252547532,LgB,Testing,0.997200156,0.024759872,LgB,Testing
35,0.762012111,0.475552543,LgB,Testing,0.759321425,0.474468157,LgB,Testing,0.986125622,0.237090636,LgB,Testing,0.998066167,0.020669318,LgB,Testing
36,0.862573226,0.375338649,LgB,Testing,0.673964838,0.584989553,LgB,Testing,0.986638819,0.229334435,LgB,Testing,0.996687431,0.027318496,LgB,Testing
37,0.789237998,0.512880648,LgB,Testing,0.682263764,0.602592215,LgB,Testing,0.98411985,0.249590597,LgB,Testing,0.997756118,0.021434575,LgB,Testing
38,0.77718334,0.468485417,LgB,Testing,0.732364776,0.465205679,LgB,Testing,0.983654335,0.255181422,LgB,Testing,0.996840426,0.025795839,LgB,Testing
39,0.841401666,0.374753944,LgB,Testing,0.710124243,0.470040343,LgB,Testing,0.986756053,0.227901739,LgB,Testing,0.996788446,0.025392126,LgB,Testing
40,0.806374447,0.456564118,LgB,Testing,0.760959303,0.469616949,LgB,Testing,0.985762496,0.233696567,LgB,Testing,0.998676214,0.016556401,LgB,Testing
41,0.821803515,0.450107714,LgB,Testing,0.767527626,0.465451945,LgB,Testing,0.987164267,0.225067782,LgB,Testing,0.995018951,0.03210786,LgB,Testing
42,0.751013788,0.481715398,LgB,Testing,0.780637314,0.412886362,LgB,Testing,0.983697693,0.255198197,LgB,Testing,0.995448863,0.03060638,LgB,Testing
43,0.868748543,0.370705341,LgB,Testing,0.726348588,0.4630791,LgB,Testing,0.985102585,0.233228347,LgB,Testing,0.997436362,0.022093992,LgB,Testing
44,0.872118002,0.397231742,LgB,Testing,0.696907848,0.589196008,LgB,Testing,0.984233446,0.25153675,LgB,Testing,0.996014145,0.029132961,LgB,Testing
45,0.805549489,0.401932591,LgB,Testing,0.722348901,0.565342773,LgB,Testing,0.982684043,0.267350384,LgB,Testing,0.995902463,0.029441881,LgB,Testing
46,0.850365043,0.451442715,LgB,Testing,0.713526603,0.471331065,LgB,Testing,0.986096789,0.236311254,LgB,Testing,0.997684762,0.021607696,LgB,Testing
47,0.732178465,0.60060241,LgB,Testing,0.694634632,0.481018225,LgB,Testing,0.97631971,0.301919272,LgB,Testing,0.997923461,0.021080431,LgB,Testing
48,0.81771129,0.461784733,LgB,Testing,0.766688533,0.470728844,LgB,Testing,0.978766322,0.287030436,LgB,Testing,0.997929583,0.02041098,LgB,Testing
49,0.815256059,0.441698046,LgB,Testing,0.728387888,0.487828028,LgB,Testing,0.984763542,0.246582387,LgB,Testing,0.996298843,0.027109792,LgB,Testing
50,0.848706434,0.410412461,LgB,Testing,0.680403476,0.597893818,LgB,Testing,0.98749272,0.228622909,LgB,Testing,0.998137679,0.020631814,LgB,Testing
51,0.792696755,0.420508158,LgB,Testing,0.791637681,0.393608776,LgB,Testing,0.987054726,0.233926176,LgB,Testing,0.997345808,0.02248819,LgB,Testing
52,0.837655575,0.446763901,LgB,Testing,0.709534115,0.507389425,LgB,Testing,0.981937674,0.270045693,LgB,Testing,0.994666347,0.032851088,LgB,Testing
53,0.804812735,0.47100314,LgB,Testing,0.737748798,0.497131997,LgB,Testing,0.985051166,0.241005547,LgB,Testing,0.997253997,0.023051259,LgB,Testing
54,0.854750904,0.371862996,LgB,Testing,0.659776287,0.538949351,LgB,Testing,0.97085007,0.335403085,LgB,Testing,0.997860275,0.021973986,LgB,Testing
55,0.742341187,0.484067485,LgB,Testing,0.738342776,0.480116443,LgB,Testing,0.986396971,0.23507852,LgB,Testing,0.996587603,0.026664508,LgB,Testing
56,0.786213588,0.530895774,LgB,Testing,0.758157088,0.45016872,LgB,Testing,0.983127716,0.258443314,LgB,Testing,0.998537015,0.017798375,LgB,Testing
57,0.772640827,0.51369286,LgB,Testing,0.744301665,0.47768293,LgB,Testing,0.972614004,0.335962665,LgB,Testing,0.997989383,0.021314079,LgB,Testing
